日期,時間,Details,筆記,Day,Google導航,停留時間,地址,營業開始時間,移動時間,被阻擋,車程,選取,阻擋
2025年6月18日 下午3:15 (GMT+8),3:00pm,星宇航空 JX802,"10:40 桃園機場 →
15:05 成田機場",Day 1,,,,,3 hr 25 min,,移動 : 3 hr 25 min,🚗 移動,
2025年6月19日 下午3:30 (GMT+8) → 下午4:00,,Skyline,"15:42 發車 第二航廈
16:24 抵達 京成上野",Day 1,,,,,50 min,,移動 : 50 min,🚗 移動,
,,住宿點,,Day 1,,停留時間 : 30 min,,,,,移動 :,🏡 住宿,
,,住宿點,,Day 2,,停留時間 : 30 min,,,,,移動 :,🏡 住宿,
,,住宿點,,Day 3,,停留時間 : 30 min,,,,,移動 :,🏡 住宿,
,,車程,,Day 2,,,,,,,移動 :,🚗 移動,
,,,,Day 1,,,,,,,移動 :,,
,,住宿點,,Day 4,,停留時間 : 30 min,,,,,移動 :,🏡 住宿,
,,,,Day 3,,,,,,,移動 :,🚉 車站,
,,車程,,Day 3,,,,,,,移動 :,🚗 移動,
,,橫濱八景島,,Day 2,,停留時間 : 3 hr,,,,,移動 :,⛱ 景點,
,,海濱線⇒JK根岸線,,Day 2,,,,,41 min,,移動 : 41 min,🚗 移動,
,,石川町站,,Day 2,,,,,,,移動 :,🚉 車站,
,,橫濱元町商店街,,Day 2,,停留時間 : 30 min,,,,,移動 :,📋 作業,
,,橫濱中華街,,Day 2,,停留時間 : 1 hr,,,,,移動 :,🧁 吃喝,
,,紅磚倉庫,,Day 2,,,,,,,移動 :,🧁 吃喝,
,,橫濱地標大廈,,Day 2,,,,,,,移動 :,📋 作業,
,,橫濱空中纜車,,Day 2,,,,,,,移動 :,🚗 移動,
,,櫻木町站,,Day 2,,,,,,,移動 :,🚉 車站,
,,住宿點,,Day 2,,停留時間 : 30 min,,,,,移動 :,🏡 住宿,
,,東京メトロ銀座線,車程 : 28 min,Day 1,,,,,"
稲荷町（東京） ⇒  銀座",,"移動 : 
稲荷町（東京） ⇒  銀座",🚉 車站,
,,Uniqlo,,Day 1,,停留時間 : 1 hr,,,,,移動 :,📋 作業,
,,東京メトロ銀座線,車程 : 28 min,Day 1,,,,,"
稲荷町（東京） ⇒ ",,"移動 : 
稲荷町（東京） ⇒",🚗 移動,
,,秋葉原,隨處逛逛,Day 1,,停留時間 : 1 hr 30 min,,,,,移動 :,📋 作業,
,,3COINS,秋葉原店,Day 1,,停留時間 : 1 hr,,,,,移動 :,📋 作業,
,,住宿點,,Day 1,,停留時間 : 30 min,,,,,移動 :,🏡 住宿,
2025年6月21日,09:00am,東京鐵塔,,Day 4,,,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011",,,,移動 :,⛱ 景點,
2025年6月21日,,皇居,,Day 4,,,,,,,移動 :,⛱ 景點,
,,The Giant 3D Cat,,Day 4,,,,,,,移動 :,⛱ 景點,
,,Kiddy Land,,Day 4,,,,,,,移動 :,📋 作業,
,,明治神宮,,Day 4,,,,,,,移動 :,⛱ 景點,
,,池袋站,,Day 3,,,,,,,移動 :,🚉 車站,
,,池袋東口陽光六十條通,,Day 3,,停留時間 : 1 hr,,,,,移動 :,📋 作業,
,,敘敘苑,,Day 3,,停留時間 : 1 hr,,,,,移動 :,🧁 吃喝,
,,步行,,Day 3,,,,,,,移動 :,🚗 移動,
,,太陽水族館,,Day 3,,停留時間 : 2 hr 30 min,,10am - 7pm,,,移動 :,⛱ 景點,
,,太陽城景觀台,,Day 3,,停留時間 : 30 min,,,,,移動 :,⛱ 景點,
,,太陽城 - 商城,,Day 3,,停留時間 : 1 hr,,,,,移動 :,📋 作業,
,,Seria,,Day 3,,停留時間 : 30 min,,,,,移動 :,📋 作業,
,,カードシークレット Card Secret,,Day 3,,停留時間 : 30 min,,,,,移動 :,📋 作業,
,,池袋東口陽光六十條通,,Day 3,,停留時間 : 1 hr 30 min,,,,,移動 :,📋 作業,
,,animate 池袋總店,,Day 3,,停留時間 : 1 hr,,,,,移動 :,📋 作業,
,,東武百貨池袋店,,Day 3,,停留時間 : 1 hr,,,,,移動 :,📋 作業,
,,池袋站,,Day 3,,,,,,,移動 :,🚉 車站,
,,車程,,Day 3,,,,,,,移動 :,🚗 移動,
,,站,,Day 3,,,,,,,移動 :,🚉 車站,