日期,Day,時間,Details,筆記,移動時間,Google導航,停留時間,地址,營業開始時間,被阻擋,車程,選取,阻擋
2025年6月21日,Day 4,09:00am,東京鐵塔,,,,,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011",,,移動 :,⛱ 景點,
2025年6月21日,Day 4,,皇居,,,,,,,,移動 :,⛱ 景點,
2025年6月18日 下午3:15 (GMT+8),Day 1,3:00pm,星宇航空 JX802,"10:40 桃園機場 →
15:05 成田機場",3 hr 25 min,,,,,,移動 : 3 hr 25 min,🚗 移動,
2025年6月19日 下午3:30 (GMT+8) → 下午4:00,Day 1,,Skyline,"15:42 發車 第二航廈
16:24 抵達 京成上野",50 min,,,,,,移動 : 50 min,🚗 移動,
,Day 1,,住宿點,,,,停留時間 : 30 min,,,,移動 :,🏡 住宿,
,Day 1,,東京メトロ銀座線,車程 : 28 min,"
稲荷町（東京） ⇒  銀座",,,,,,"移動 : 
稲荷町（東京） ⇒  銀座",🚉 車站,
,Day 1,,Uniqlo,,,,停留時間 : 1 hr,,,,移動 :,📋 作業,
,Day 1,,東京メトロ銀座線,車程 : 28 min,"
稲荷町（東京） ⇒ ",,,,,,"移動 : 
稲荷町（東京） ⇒",🚗 移動,
,Day 1,,秋葉原,隨處逛逛,,,停留時間 : 1 hr 30 min,,,,移動 :,📋 作業,
,Day 1,,3COINS,秋葉原店,,,停留時間 : 1 hr,,,,移動 :,📋 作業,
,Day 1,,住宿點,,,,停留時間 : 30 min,,,,移動 :,🏡 住宿,
,Day 2,,住宿點,,,,停留時間 : 30 min,,,,移動 :,🏡 住宿,
,Day 2,,橫濱八景島,,,,停留時間 : 3 hr,,,,移動 :,⛱ 景點,
,Day 2,,車程,,,,,,,,移動 :,🚗 移動,
,Day 2,,海濱線⇒JK根岸線,,41 min,,,,,,移動 : 41 min,🚗 移動,
,Day 2,,石川町站,,,,,,,,移動 :,🚉 車站,
,Day 3,,池袋站,,,,,,,,移動 :,🚉 車站,
,Day 1,,,,,,,,,,移動 :,,
,Day 2,,橫濱元町商店街,,,,停留時間 : 30 min,,,,移動 :,📋 作業,
,Day 2,,橫濱中華街,,,,停留時間 : 1 hr,,,,移動 :,🧁 吃喝,
,Day 2,,紅磚倉庫,,,,,,,,移動 :,🧁 吃喝,
,Day 2,,橫濱地標大廈,,,,,,,,移動 :,📋 作業,
,Day 2,,橫濱空中纜車,,,,,,,,移動 :,🚗 移動,
,Day 3,,,,,,,,,,移動 :,🚉 車站,
,Day 2,,櫻木町站,,,,,,,,移動 :,🚉 車站,
,Day 2,,住宿點,,,,停留時間 : 30 min,,,,移動 :,🏡 住宿,
,Day 3,,住宿點,,,,停留時間 : 30 min,,,,移動 :,🏡 住宿,
,Day 3,,敘敘苑,,,,停留時間 : 1 hr,,,,移動 :,🧁 吃喝,
,Day 3,,太陽水族館,,,,停留時間 : 2 hr 30 min,,10am - 7pm,,移動 :,⛱ 景點,
,Day 3,,太陽城景觀台,,,,停留時間 : 30 min,,,,移動 :,⛱ 景點,
,Day 3,,太陽城 - 商城,,,,停留時間 : 1 hr,,,,移動 :,📋 作業,
,Day 3,,Seria,,,,停留時間 : 30 min,,,,移動 :,📋 作業,
,Day 3,,車程,,,,,,,,移動 :,🚗 移動,
,Day 3,,カードシークレット Card Secret,,,,停留時間 : 30 min,,,,移動 :,📋 作業,
,Day 3,,池袋東口陽光六十條通,,,,停留時間 : 1 hr 30 min,,,,移動 :,📋 作業,
,Day 3,,animate 池袋總店,,,,停留時間 : 1 hr,,,,移動 :,📋 作業,
,Day 3,,東武百貨池袋店,,,,停留時間 : 1 hr,,,,移動 :,📋 作業,
,Day 3,,池袋站,,,,,,,,移動 :,🚉 車站,
,Day 3,,車程,,,,,,,,移動 :,🚗 移動,
,Day 3,,站,,,,,,,,移動 :,🚉 車站,
,Day 3,,步行,,,,,,,,移動 :,🚗 移動,
,Day 3,,池袋東口陽光六十條通,,,,停留時間 : 1 hr,,,,移動 :,📋 作業,
,Day 4,,住宿點,,,,停留時間 : 30 min,,,,移動 :,🏡 住宿,
,Day 4,,The Giant 3D Cat,,,,,,,,移動 :,⛱ 景點,
,Day 4,,Kiddy Land,,,,,,,,移動 :,📋 作業,
,Day 4,,明治神宮,,,,,,,,移動 :,⛱ 景點,